Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
363969;1000001920221768293;63791270631692;(-0.424, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
363988;1000001920316801296;63791270631692;(-0.424, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364007;1000001920411896469;63791270631693;(-0.424, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364029;1000001920521812900;63791270631738;(-0.424, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364107;1000001920911909145;63791270632576;(-0.424, 1.139, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364129;1000001921021959770;63791270632576;(-0.424, 1.139, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364148;1000001921117001660;63791270632576;(-0.424, 1.139, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364169;1000001921222048636;63791270632576;(-0.424, 1.139, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364188;1000001921317090008;63791270632576;(-0.424, 1.139, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364207;1000001921412129565;63791270632617;(-0.423, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364229;1000001921522172934;63791270632710;(-0.424, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364248;1000001921617209824;63791270632812;(-0.423, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364269;1000001921722247938;63791270632910;(-0.422, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364288;1000001921817281134;63791270633012;(-0.422, 1.140, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364307;1000001921912313372;63791270633099;(-0.422, 1.141, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364329;1000001922022349006;63791270633211;(-0.422, 1.141, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364347;1000001922112377753;63791270633299;(-0.422, 1.141, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364369;1000001922222411690;63791270633412;(-0.422, 1.141, 0.424);(-0.035, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364388;1000001922317440441;63791270633510;(-0.421, 1.142, 0.424);(-0.034, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364407;1000001922412467941;63791270633621;(-0.422, 1.141, 0.424);(-0.034, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364429;1000001922522415865;63791270633710;(-0.422, 1.141, 0.424);(-0.033, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364447;1000001922612384471;63791270633800;(-0.424, 1.141, 0.426);(-0.032, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364469;1000001922722435103;63791270633911;(-0.425, 1.141, 0.426);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364488;1000001922817476997;63791270634011;(-0.426, 1.140, 0.426);(-0.032, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364507;1000001922912517522;63791270634099;(-0.427, 1.139, 0.426);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364529;1000001923022568907;63791270634210;(-0.428, 1.139, 0.426);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364547;1000001923112609591;63791270634309;(-0.429, 1.138, 0.426);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364569;1000001923222659108;63791270634410;(-0.430, 1.138, 0.426);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364588;1000001923317702653;63791270634510;(-0.430, 1.138, 0.427);(-0.031, 0.041, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364607;1000001923412747141;63791270634610;(-0.431, 1.137, 0.426);(-0.033, 0.041, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364629;1000001923522791727;63791270634732;(-0.432, 1.137, 0.427);(-0.032, 0.040, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364647;1000001923612833062;63791270634799;(-0.432, 1.137, 0.425);(-0.022, 0.057, 0.000, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364669;1000001923722949677;63791270634910;(-0.423, 1.145, 0.407);(0.026, 0.066, 0.064, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364688;1000001923817984483;63791270635010;(-0.412, 1.161, 0.380);(0.060, 0.069, 0.155, 0.984);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364707;1000001923913021489;63791270635109;(-0.407, 1.179, 0.340);(0.102, 0.053, 0.261, 0.958);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364729;1000001924023057270;63791270635210;(-0.401, 1.193, 0.284);(0.176, 0.005, 0.323, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364747;1000001924113091739;63791270635310;(-0.405, 1.201, 0.220);(0.251, -0.046, 0.320, 0.912);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364769;1000001924223126600;63791270635409;(-0.412, 1.202, 0.159);(0.305, -0.109, 0.317, 0.891);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364788;1000001924318158552;63791270635509;(-0.417, 1.198, 0.102);(0.358, -0.139, 0.311, 0.869);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364807;1000001924413193003;63791270635610;(-0.408, 1.193, 0.054);(0.417, -0.148, 0.316, 0.839);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364828;1000001924518161617;63791270635709;(-0.391, 1.177, 0.015);(0.473, -0.130, 0.339, 0.803);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364847;1000001924613138513;63791270635820;(-0.358, 1.148, -0.019);(0.516, -0.103, 0.370, 0.766);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364869;1000001924723191713;63791270635920;(-0.323, 1.125, -0.043);(0.547, -0.084, 0.404, 0.729);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364888;1000001924818238892;63791270636009;(-0.294, 1.105, -0.059);(0.563, -0.076, 0.421, 0.707);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364907;1000001924913286752;63791270636108;(-0.270, 1.084, -0.072);(0.579, -0.050, 0.425, 0.694);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364929;1000001925023343366;63791270636220;(-0.254, 1.069, -0.083);(0.593, -0.028, 0.425, 0.683);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364947;1000001925113508063;63791270636309;(-0.252, 1.070, -0.085);(0.591, -0.034, 0.435, 0.679);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364969;1000001925223557857;63791270636419;(-0.262, 1.076, -0.080);(0.578, -0.047, 0.419, 0.698);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
364988;1000001925318601186;63791270636508;(-0.274, 1.079, -0.078);(0.575, -0.054, 0.393, 0.715);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365007;1000001925413642132;63791270636608;(-0.284, 1.086, -0.078);(0.574, -0.061, 0.395, 0.715);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365028;1000001925518685677;63791270636708;(-0.293, 1.107, -0.071);(0.549, -0.076, 0.431, 0.712);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365047;1000001925613724376;63791270636809;(-0.311, 1.155, -0.041);(0.486, -0.096, 0.447, 0.744);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365069;1000001925723766619;63791270636931;(-0.352, 1.231, 0.016);(0.366, -0.091, 0.392, 0.839);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365088;1000001925818801166;63791270637010;(-0.384, 1.282, 0.058);(0.283, -0.089, 0.326, 0.897);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365107;1000001925913898932;63791270637110;(-0.420, 1.324, 0.111);(0.176, -0.113, 0.239, 0.948);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365128;1000001926018930294;63791270637211;(-0.444, 1.338, 0.159);(0.093, -0.116, 0.178, 0.973);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365147;1000001926113958230;63791270637310;(-0.453, 1.326, 0.197);(0.028, -0.102, 0.244, 0.964);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365169;1000001926223988951;63791270637410;(-0.457, 1.295, 0.227);(0.016, -0.092, 0.270, 0.958);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365188;1000001926319014528;63791270637510;(-0.457, 1.260, 0.243);(0.070, -0.093, 0.282, 0.952);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365206;1000001926409038864;63791270637599;(-0.454, 1.233, 0.253);(0.094, -0.093, 0.306, 0.943);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365228;1000001926518936491;63791270637710;(-0.448, 1.220, 0.264);(0.105, -0.085, 0.307, 0.942);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365247;1000001926613902460;63791270637810;(-0.448, 1.217, 0.277);(0.090, -0.078, 0.287, 0.950);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365269;1000001926723952136;63791270637910;(-0.447, 1.210, 0.292);(0.084, -0.069, 0.259, 0.960);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365288;1000001926818992724;63791270638032;(-0.442, 1.193, 0.309);(0.097, -0.050, 0.229, 0.967);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365307;1000001926914032087;63791270638110;(-0.438, 1.180, 0.318);(0.110, -0.040, 0.205, 0.972);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365328;1000001927019079196;63791270638210;(-0.432, 1.172, 0.329);(0.100, -0.029, 0.169, 0.980);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365347;1000001927114120800;63791270638310;(-0.423, 1.167, 0.339);(0.091, -0.011, 0.146, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365369;1000001927224168839;63791270638411;(-0.414, 1.161, 0.347);(0.086, 0.001, 0.107, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365388;1000001927319208238;63791270638510;(-0.408, 1.155, 0.355);(0.072, 0.022, 0.073, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365406;1000001927409244597;63791270638598;(-0.405, 1.150, 0.362);(0.054, 0.024, 0.053, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365428;1000001927519287213;63791270638711;(-0.407, 1.147, 0.375);(0.034, 0.025, 0.050, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365447;1000001927614321501;63791270638810;(-0.409, 1.145, 0.388);(0.026, 0.026, 0.038, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365469;1000001927724359782;63791270638921;(-0.410, 1.142, 0.405);(0.028, 0.042, 0.013, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365488;1000001927819391976;63791270639009;(-0.409, 1.140, 0.418);(0.021, 0.058, -0.008, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365506;1000001927909421600;63791270639120;(-0.410, 1.140, 0.431);(-0.014, 0.075, -0.003, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365528;1000001928019456408;63791270639210;(-0.412, 1.140, 0.431);(-0.010, 0.063, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365547;1000001928114486289;63791270639310;(-0.413, 1.140, 0.430);(-0.017, 0.069, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365569;1000001928224518744;63791270639421;(-0.415, 1.139, 0.426);(-0.025, 0.075, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365588;1000001928319545852;63791270639510;(-0.416, 1.138, 0.423);(-0.023, 0.078, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365606;1000001928409632477;63791270639598;(-0.416, 1.138, 0.423);(-0.025, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365628;1000001928519664592;63791270639709;(-0.417, 1.138, 0.424);(-0.025, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365647;1000001928614691553;63791270639810;(-0.417, 1.138, 0.424);(-0.026, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365669;1000001928724729714;63791270639920;(-0.417, 1.138, 0.424);(-0.026, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365688;1000001928819761303;63791270640010;(-0.417, 1.138, 0.424);(-0.025, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365706;1000001928909792018;63791270640098;(-0.417, 1.138, 0.424);(-0.025, 0.077, -0.005, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365728;1000001929019830296;63791270640231;(-0.416, 1.138, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365747;1000001929114864727;63791270640310;(-0.416, 1.138, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365769;1000001929224976144;63791270640421;(-0.416, 1.138, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365788;1000001929320005534;63791270640510;(-0.416, 1.138, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365806;1000001929410038315;63791270640598;(-0.415, 1.139, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365828;1000001929520072897;63791270640709;(-0.413, 1.140, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365847;1000001929615105635;63791270640810;(-0.412, 1.141, 0.423);(-0.025, 0.077, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365869;1000001929725136345;63791270640920;(-0.411, 1.141, 0.423);(-0.025, 0.078, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365888;1000001929820165547;63791270641010;(-0.410, 1.142, 0.422);(-0.025, 0.080, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365906;1000001929910197988;63791270641098;(-0.411, 1.141, 0.422);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365928;1000001930020231754;63791270641209;(-0.412, 1.140, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365947;1000001930115263386;63791270641320;(-0.413, 1.140, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365969;1000001930225184891;63791270641420;(-0.414, 1.140, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
365987;1000001930315218526;63791270641509;(-0.415, 1.139, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366006;1000001930410256272;63791270641598;(-0.415, 1.139, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366028;1000001930520372473;63791270641710;(-0.415, 1.139, 0.423);(-0.024, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366047;1000001930615406813;63791270641810;(-0.415, 1.139, 0.423);(-0.024, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366069;1000001930725448752;63791270641920;(-0.417, 1.138, 0.423);(-0.024, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366087;1000001930815483363;63791270642009;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366106;1000001930910518500;63791270642098;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366128;1000001931020565872;63791270642210;(-0.417, 1.138, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366147;1000001931115605336;63791270642310;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366169;1000001931225650601;63791270642432;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366187;1000001931315686033;63791270642509;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366206;1000001931410722828;63791270642598;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366228;1000001931520763617;63791270642710;(-0.417, 1.138, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366247;1000001931615797448;63791270642809;(-0.417, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366269;1000001931725835412;63791270642920;(-0.417, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366287;1000001931815926260;63791270643009;(-0.417, 1.138, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366306;1000001931910952745;63791270643098;(-0.417, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366328;1000001932020982986;63791270643209;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366347;1000001932116008679;63791270643310;(-0.418, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
366369;1000001932226039438;63791270643421;(-0.417, 1.137, 0.423);(-0.025, 0.079, -0.004, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
